name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,USA",2024-09-01T00:00:00,23.2,23.2,19.5,79.3,0,0,,0,0,14.8,4.4,91,1014.5,90.6,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T01:00:00,23,23,19.5,80.24,0,0,,0,0,13,4,91,1014,52.6,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T02:00:00,23,23,19.5,80.63,0,0,,0,0,13,7,201,1013.8,31,16,0,0,0,10,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T03:00:00,23,23,19.3,79.69,0,0,,0,0,13,11.7,206,1013.6,97.5,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T04:00:00,23,23,19.3,79.69,0,0,,0,0,16.6,11.9,202,1013.2,100,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T05:00:00,23,23,19.3,80.07,0,0,,0,0,18.4,7.6,198,1013,100,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T06:00:00,23.3,23.3,19.6,79.66,0,0,,0,0,18.4,4.4,277,1012.9,100,16,0,0,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T07:00:00,23,23,20,83.17,0,0,,0,0,18.4,8.3,226,1013.1,100,16,21,0.1,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T08:00:00,23,23,20.2,83.92,0,0,,0,0,20.5,5.1,287,1013.3,100,16,42,0.2,0,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T09:00:00,23.4,23.4,20.6,84.06,0,0,,0,0,20.5,4.3,282,1012.9,98.2,13.5,131,0.5,1,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T10:00:00,24.1,24.1,20.6,80.51,0,0,,0,0,20.5,4.7,282,1012.6,98.2,14.1,164,0.6,2,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T11:00:00,24.9,24.9,21,79.01,0,0,,0,0,16.6,4.7,297,1012.4,89.8,15.3,125,0.5,1,10,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T12:00:00,25,25,20.6,76.42,0,0,,0,0,25.9,9.5,231,1012.2,91.4,15.3,331,1.2,3,10,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T13:00:00,25.5,25.5,20.8,75.24,0,0,,0,0,27.7,8.6,242,1011.9,92.3,15.3,191,0.7,2,30,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T14:00:00,26.2,26.2,20.7,71.73,0,0,,0,0,27.7,10.6,228,1011.5,99.2,15.3,176,0.6,2,30,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T15:00:00,25.8,25.8,20.9,74.2,0,0,,0,0,29.5,4.7,299,1011.2,96.7,16,202,0.7,2,30,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T16:00:00,27.1,28.6,19.9,64.96,0,0,,0,0,27.7,3,322,1010.5,61.8,16,479,1.7,5,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T17:00:00,27.5,29.1,20.1,64.05,0,0,,0,0,33.5,4.6,309,1009.8,34.2,16,485,1.7,5,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T18:00:00,27.7,29.3,20,62.8,0,0,,0,0,31.7,5.7,287,1009.6,50.8,16,152,0.5,2,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T19:00:00,27,28.5,20.1,66.07,0,0,,0,0,16.6,8.7,200,1009.5,34.2,16,18,0.1,0,30,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T20:00:00,26.4,26.4,20.6,70.23,0,0,,0,0,14.8,8.8,180,1009.9,25.4,16,0,0,0,30,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T21:00:00,26.1,26.1,20.8,72.91,0,0,,0,0,14.8,10.1,210,1010.4,25.4,16,0,0,0,30,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T22:00:00,25.8,25.8,20.8,74.18,0,0,,0,0,14.8,4.8,275,1010.7,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-01T23:00:00,25.6,25.6,20.2,72.49,0,0,,0,0,14.8,10.6,226,1010.8,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-02T00:00:00,25.3,25.3,18.8,67.63,0,0,,0,0,16.6,8,222,1010.8,19.2,16,0,0,0,30,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York City,USA",2024-09-02T01:00:00,24.6,24.6,17.8,65.93,0,0,,0,0,40.4,15.3,303,1011.6,19.2,16,0,0,0,10,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
