name,datetime,temp,humidity,precip,windgust,windspeed,winddir,cloudcover,visibility,severerisk,date,time,day,month,hour
"New York City,USA",2024-07-01 00:00:00,22.5,62.83,0.0,38.0,28.8,324,88.9,16.0,10,2024-07-01,00:00:00,1,7,0
"New York City,USA",2024-07-01 01:00:00,21.4,57.78,0.0,40.7,11.9,324,80.1,16.0,10,2024-07-01,01:00:00,1,7,1
"New York City,USA",2024-07-01 02:00:00,20.6,53.7,0.0,38.9,12.7,328,37.0,16.0,10,2024-07-01,02:00:00,1,7,2
"New York City,USA",2024-07-01 03:00:00,19.0,60.55,0.0,48.4,14.5,328,15.6,16.0,10,2024-07-01,03:00:00,1,7,3
"New York City,USA",2024-07-01 04:00:00,18.5,62.81,0.0,40.7,10.4,320,6.1,16.0,10,2024-07-01,04:00:00,1,7,4
"New York City,USA",2024-07-01 05:00:00,18.1,65.97,0.0,31.3,8.4,347,10.5,16.0,10,2024-07-01,05:00:00,1,7,5
"New York City,USA",2024-07-01 06:00:00,18.0,66.85,0.0,31.3,13.3,310,10.5,16.0,10,2024-07-01,06:00:00,1,7,6
"New York City,USA",2024-07-01 07:00:00,18.6,65.39,0.0,29.5,18.1,313,10.5,16.0,10,2024-07-01,07:00:00,1,7,7
"New York City,USA",2024-07-01 08:00:00,19.8,64.04,0.0,33.5,23.1,334,70.3,16.0,10,2024-07-01,08:00:00,1,7,8
"New York City,USA",2024-07-01 09:00:00,21.3,60.0,0.0,45.8,15.1,334,50.0,16.0,10,2024-07-01,09:00:00,1,7,9
"New York City,USA",2024-07-01 10:00:00,22.4,55.47,0.0,41.1,18.1,355,15.6,16.0,10,2024-07-01,10:00:00,1,7,10
"New York City,USA",2024-07-01 11:00:00,22.6,55.23,0.0,46.2,15.6,348,65.0,16.0,10,2024-07-01,11:00:00,1,7,11
"New York City,USA",2024-07-01 12:00:00,23.7,53.3,0.0,47.1,28.3,2,87.0,16.0,10,2024-07-01,12:00:00,1,7,12
"New York City,USA",2024-07-01 13:00:00,25.2,46.51,0.0,40.9,16.6,2,50.0,16.0,10,2024-07-01,13:00:00,1,7,13
"New York City,USA",2024-07-01 14:00:00,26.2,43.73,0.0,50.1,23.1,31,19.2,16.0,10,2024-07-01,14:00:00,1,7,14
"New York City,USA",2024-07-01 15:00:00,26.7,43.34,0.0,47.8,24.3,1,19.2,16.0,10,2024-07-01,15:00:00,1,7,15
"New York City,USA",2024-07-01 16:00:00,26.4,41.62,0.0,41.7,17.1,12,19.2,16.0,10,2024-07-01,16:00:00,1,7,16
"New York City,USA",2024-07-01 17:00:00,26.2,41.71,0.0,31.9,16.7,352,14.1,16.0,10,2024-07-01,17:00:00,1,7,17
"New York City,USA",2024-07-01 18:00:00,26.4,39.92,0.0,37.8,15.3,26,10.5,16.0,10,2024-07-01,18:00:00,1,7,18
"New York City,USA",2024-07-01 19:00:00,26.0,39.43,0.0,38.9,13.3,348,10.5,16.0,10,2024-07-01,19:00:00,1,7,19
"New York City,USA",2024-07-01 20:00:00,25.2,40.37,0.0,24.1,16.0,17,10.5,16.0,10,2024-07-01,20:00:00,1,7,20
"New York City,USA",2024-07-01 21:00:00,24.5,42.51,0.0,20.5,13.6,8,10.5,16.0,10,2024-07-01,21:00:00,1,7,21
"New York City,USA",2024-07-01 22:00:00,23.8,44.78,0.0,22.3,12.1,9,10.5,16.0,10,2024-07-01,22:00:00,1,7,22
"New York City,USA",2024-07-01 23:00:00,23.3,44.24,0.0,18.4,14.2,24,10.5,16.0,10,2024-07-01,23:00:00,1,7,23
"New York City,USA",2024-07-02 00:00:00,23.1,42.06,0.0,22.3,10.0,12,10.5,16.0,10,2024-07-02,00:00:00,2,7,0
"New York City,USA",2024-07-02 01:00:00,22.7,41.34,0.0,18.4,10.3,25,4.4,16.0,10,2024-07-02,01:00:00,2,7,1
"New York City,USA",2024-07-02 02:00:00,21.3,46.19,0.0,13.0,8.9,2,68.8,16.0,10,2024-07-02,02:00:00,2,7,2
"New York City,USA",2024-07-02 03:00:00,21.0,46.36,0.0,13.0,7.8,10,50.0,16.0,10,2024-07-02,03:00:00,2,7,3
"New York City,USA",2024-07-02 04:00:00,19.9,50.59,0.0,13.0,8.8,2,10.5,16.0,10,2024-07-02,04:00:00,2,7,4
"New York City,USA",2024-07-02 05:00:00,19.4,51.71,0.0,13.0,9.0,16,10.5,16.0,10,2024-07-02,05:00:00,2,7,5
"New York City,USA",2024-07-02 06:00:00,19.2,54.16,0.0,13.0,10.9,10,10.5,16.0,10,2024-07-02,06:00:00,2,7,6
"New York City,USA",2024-07-02 07:00:00,19.5,57.36,0.0,16.6,4.3,9,10.5,16.0,10,2024-07-02,07:00:00,2,7,7
"New York City,USA",2024-07-02 08:00:00,21.2,51.65,0.0,25.9,9.2,4,10.5,16.0,10,2024-07-02,08:00:00,2,7,8
